GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Community Compass Java Service,com.compasschat.ai.context,AIContext,57,0,2,0,16,0,12,0,11,0
Community Compass Java Service,com.compasschat.ai.context,ContextFragment,9,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.websocket,WebSocketAuthInterceptor,219,0,34,0,46,0,26,0,8,0
Community Compass Java Service,com.compasschat.websocket,WebSocketConfig,61,0,0,0,11,0,4,0,4,0
Community Compass Java Service,com.compasschat.websocket,PresenceService,53,0,0,0,13,0,4,0,4,0
Community Compass Java Service,com.compasschat.websocket,StompPrincipal,13,0,0,0,2,0,2,0,2,0
Community Compass Java Service,com.compasschat.websocket,PresenceEventListener,55,0,8,0,15,0,8,0,4,0
Community Compass Java Service,com.compasschat.websocket,WebSocketMessageController,60,0,4,0,13,0,7,0,5,0
Community Compass Java Service,com.compasschat.websocket,PresenceUpdate,15,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.websocket,ChatBroadcastListener,44,0,2,0,14,0,3,0,2,0
